timestamp	id	title	reason	signals_matched
2026-05-25T23:56:07Z	deep-rock-galactic	Deep Rock Galactic	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-25T23:56:07Z	lethal-company	Lethal Company	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-25T23:56:07Z	bloons-td-6	Bloons TD 6	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-25T23:56:07Z	crab-champions	Crab Champions	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-25T23:56:07Z	schedule-i	Schedule I	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-25T23:56:07Z	repo	R.E.P.O.	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-25T23:56:07Z	planet-crafter	The Planet Crafter	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-25T23:56:07Z	boomerang-fu	Boomerang Fu	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-25T23:58:21Z	brotato	Brotato	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-25T23:58:21Z	dont-starve-together	Don't Starve Together	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	helldivers-2	Helldivers 2	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	core-keeper	Core Keeper	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	v-rising	V Rising	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	enshrouded	Enshrouded	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	palworld	Palworld	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	sea-of-thieves	Sea of Thieves	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	deep-rock-galactic	Deep Rock Galactic	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	lethal-company	Lethal Company	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	bloons-td-6	Bloons TD 6	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	crab-champions	Crab Champions	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	schedule-i	Schedule I	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	repo	R.E.P.O.	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	boomerang-fu	Boomerang Fu	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	planet-crafter	The Planet Crafter	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	brotato	Brotato	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-26T00:32:18Z	dont-starve-together	Don't Starve Together	endless_misclassified	hardcoded_blocklist+manual_audit
2026-05-27T11:46:15Z	target		test	
2026-05-27T11:46:37Z	portal		t	
2026-05-27T13:38:35Z	forza-horizon-5	Forza Horizon 5	blocklisted_endless	open-world racing festival, no credits/Hall-of-Fame finish; classification.md hardcoded blocklist; historical false positive
2026-05-29T19:53:14Z	army-of-two	Army of Two	endless_misclassified	
2026-05-30T15:28:26Z	solo-leveling-arise-overdrive	Solo Leveling: ARISE OVERDRIVE	endless_misclassified	
2026-05-30T15:28:26Z	tales-of-berseria	Tales of Berseria	endless_misclassified	
