timestamp	id	old_url_kind	new_video_id
2026-05-26T02:18:58Z	terraria	youtubeSearch	Yb6Ja-YHQ1c
2026-05-26T02:19:14Z	stardew-valley	youtubeSearch	m5_kcslaxmI
2026-05-26T02:19:28Z	magicka	youtubeSearch	lmLDkzwpMs8
2026-05-26T02:19:41Z	we-were-here	youtubeSearch	6M4SZZH_iFQ
2026-05-26T02:19:46Z	we-were-here-together	youtubeSearch	XTy9QU71FtQ
2026-05-26T02:20:00Z	streets-of-rage-4	youtubeSearch	0QQIQrCmz1E
2026-05-26T02:20:16Z	enter-the-gungeon	youtubeSearch	hEvjcwVUml4
2026-05-26T02:20:29Z	spelunky-2	youtubeSearch	JGhRmS4Gs-g
2026-05-26T02:20:44Z	spelunky	youtubeSearch	idJ0sGE8fio
2026-05-26T02:20:57Z	battleblock-theater	youtubeSearch	CS3Lj4-EtR8
2026-05-26T02:21:11Z	lego-skywalker-saga	youtubeSearch	s5_X2LoisQw
2026-05-26T02:21:25Z	lego-city-undercover	youtubeSearch	z5xMtpM6dPA
2026-05-26T02:21:37Z	lego-marvel-superheroes	youtubeSearch	HnbNGpN8T8s
2026-05-26T02:21:49Z	a-hat-in-time	youtubeSearch	jqEFLf-0tUU
2026-05-26T02:22:01Z	rayman-legends	youtubeSearch	Dt_Rw0u1xmo
2026-05-26T02:22:12Z	rayman-origins	youtubeSearch	XYYU4o9q1Fw
2026-05-26T02:22:28Z	sackboy-big-adventure	youtubeSearch	OetgxfDiqH8
2026-05-26T02:22:43Z	orcs-must-die-2	youtubeSearch	OzLGPao96ms
2026-05-26T02:22:57Z	dungeon-defenders	youtubeSearch	vX2lYTJKa7E
2026-05-26T02:23:11Z	sanctum-2	youtubeSearch	cFv0dhOnSFY
2026-05-26T02:23:24Z	world-war-z	youtubeSearch	dPxZV7KFahU
2026-05-26T02:23:36Z	zombie-army-trilogy	youtubeSearch	1OSaI8tTxnQ
2026-05-26T02:23:50Z	serious-sam-3	youtubeSearch	8ViDZN-zW3E
2026-05-26T02:24:05Z	serious-sam-4	youtubeSearch	O-ZRv1gpdHQ
2026-05-26T02:24:21Z	alien-swarm-reactive-drop	youtubeSearch	KZvHEpKNXnY
2026-05-26T02:24:34Z	powerwash-simulator	youtubeSearch	AIGIRdQALxE
2026-05-26T02:24:47Z	teardown	youtubeSearch	qLk-mdUMINI
2026-05-26T02:25:01Z	human-fall-flat	youtubeSearch	1Q6o-XtVz6M
2026-05-26T02:25:14Z	for-the-king	youtubeSearch	gZiFXgXFTqA
2026-05-26T02:25:27Z	streets-of-rogue	youtubeSearch	ARV3PEqN3jI
2026-05-26T02:25:38Z	nuclear-throne	youtubeSearch	-YS_lHKUGoo
2026-05-26T02:25:52Z	binding-of-isaac-rebirth	youtubeSearch	E6HNZYZFYAw
